#METABOLOMICS WORKBENCH araskind_20170619_181205 DATATRACK_ID:1045 STUDY_ID:ST000741 ANALYSIS_ID:AN001155 PROJECT_ID:PR000535
VERSION             	1
CREATED_ON             	July 3, 2017, 1:46 pm
#PROJECT
PR:PROJECT_TITLE                 	Metabolite-phenotype link in X-linked Adrenoleukodystrophy
PR:PROJECT_TYPE                  	MS analysis
PR:PROJECT_SUMMARY               	Untargeted metabolomics of control, AMN and ALD patient-derived fibroblasts
PR:INSTITUTE                     	Henry Ford Health System
PR:DEPARTMENT                    	Neurology
PR:LABORATORY                    	Singh Lab
PR:LAST_NAME                     	Singh
PR:FIRST_NAME                    	Jaspreet
PR:ADDRESS                       	Detroit, MI
PR:EMAIL                         	jsingh2@hfhs.org
PR:PHONE                         	313-916-7725
#STUDY
ST:STUDY_TITLE                   	Metabolite-phenotype link in X-linked Adrenoleukodystrophy (fibroblast cell
ST:STUDY_TITLE                   	culture)
ST:STUDY_TYPE                    	MS analysis
ST:STUDY_SUMMARY                 	Untargeted metabolomics of control, AMN and ALD patient-derived fibroblasts.
ST:STUDY_SUMMARY                 	Fibroblasts cultured in DMEM with 15%FBS and antibiotic (pen/strep) in 100mm
ST:STUDY_SUMMARY                 	petridishes (1million/dish). After 24h cultures supplemented with fresh media
ST:STUDY_SUMMARY                 	(DMEM+15%FBS+antibiotic) for 3hr
ST:INSTITUTE                     	University of Michigan
ST:DEPARTMENT                    	Biomedical Research Core Facilities
ST:LABORATORY                    	Metabolomics core
ST:LAST_NAME                     	Kachman
ST:FIRST_NAME                    	Maureen
ST:ADDRESS                       	6300 Brehm Tower, 1000 Wall Street, Ann Arbor, MI 48105-5714
ST:EMAIL                         	mkachman@med.umich.edu
ST:PHONE                         	(734) 232-8175
ST:NUM_GROUPS                    	4
ST:TOTAL_SUBJECTS                	2
#SUBJECT
SU:SUBJECT_TYPE                  	Human
SU:SUBJECT_SPECIES               	Homo sapiens
SU:TAXONOMY_ID                   	9606
#SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)[tab]SAMPLE[tab]FACTORS(NAME:VALUE pairs separated by |)[tab]Additional sample data
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016570	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016571	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016572	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016573	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016574	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016575	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016576	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016577	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016578	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016579	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016580	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016581	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016582	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016583	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016584	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016585	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016586	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016587	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU9999996	S00017166	subject type:POOLED	
#COLLECTION
CO:COLLECTION_SUMMARY             	-
#TREATMENT
TR:TREATMENT_SUMMARY              	-
#SAMPLEPREP
SP:SAMPLEPREP_SUMMARY             	-
SP:SAMPLEPREP_PROTOCOL_FILENAME   	A003 - Untargeted Metabolomics.pdf
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_TYPE           	Reversed phase
CH:INSTRUMENT_NAME               	Agilent
CH:COLUMN_NAME                   	Waters Acquity HSS T3 (50 x 2.1mm, 1.8um)
#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
AN:ANALYSIS_PROTOCOL_FILE        	A003 - Untargeted Metabolomics.pdf
#MS
MS:MS_COMMENTS                   	-
MS:INSTRUMENT_NAME               	Agilent 6530 QTOF
MS:INSTRUMENT_TYPE               	QTOF
MS:MS_TYPE                       	ESI
MS:ION_MODE                      	NEGATIVE
#MS_METABOLITE_DATA
MS_METABOLITE_DATA:UNITS         	peak area
MS_METABOLITE_DATA_START
Samples	S00016570	S00016571	S00016572	S00016573	S00016574	S00016575	S00016576	S00016577	S00016578	S00016579	S00016580	S00016581	S00016582	S00016583	S00016584	S00016585	S00016586	S00016587
4-NITROBENZOIC ACID (CAS# 62-23-7); (M-H)-		3545	7484	6958		2471	6223						7885			3756		
4-NITROCATECHOL (CAS# 3316-09-4); (M-H)-		3105							5230	2230		2685	3128					2148
4-NITROPHENOL (CAS# 100-02-7); (M-H)-	30098	29296	21455	19298	14234	11548	12026	10963	36181	20516	15845	27469	29972	23059	21347	13795	11996	21274
4-PYRIDOXATE (CAS# 82-82-6); (M-H)-	4970	96688	45352	34935	33846	55875	34439	114048	59896	44017	35695	13665	84802	69197	70423	7004	67914	
5'-METHYLTHIOADENOSINE (CAS# 2457-80-9); (M+CL)-	791637	948746	547855	344938	407918	299051	449834	321151	480814	527922	514061	480820	422086	519145	383742	369474	259480	255372
5'-METHYLTHIOADENOSINE (CAS# 2457-80-9); (M+HCOO)-	372329	223749	272649	193168	222604	166992	249387	163974	177678	260011	262934	253293	205368	127225	117197	167587	135527	140684
5-AMINOPENTANOATE (CAS# 660-88-8); (M-H)-			33797	17591	19725	16098	32156	27997		26430	28697		25497			26804	17644	19344
5-HYDROXYTRYPTOPHAN (CAS# 4350-09-8); (M-H)-			40203	12108	9597		36408					15314	11191					
5-OXOPROLINE (CAS# 4042-36-8); (M-H)-					2036400	1588422	2546515	2065776		1913710	2413703	2820033	2505507			1643203		1559044
6-CARBOXYHEXANOATE (CAS# 111-16-0); (M-H)-	8083		6182		3043	3850	2835			6973	6007	6553	5446			5314	5525	5377
ADENOSINE (CAS# 58-61-7); (M+HCOO)-	22181						24389	27427	7634			17270				8745	13059	6288
ADENOSINE 5'-MONOPHOSPHATE (CAS# 61-19-8); (M-H)-	16490		54057	138859	43070	60529	50946	60181	43418	7340	78613	77641	20032	150748		27358	57129	46944
ADIPIC ACID (CAS# 124-04-9 ); (M-H)-	76634	37562	49725	30839	28839	27222	56660	61212	37603	58403	58767	63545	60112	34211	32887	66977	49797	46672
ADP-RIBOSE (CAS# ); (M-H)-	3730		17262	42490	36530	25511	20744	42217		23865	26039	9434	17513			24675	17225	30147
ADPGLUCOSE (CAS# ); (M-H)-	126398	25413	107843	105936	135259	134343	125385	133504	24581	127070	110822	99650	130541	19803	29873	118484	147725	137504
ALLOSE (CAS# 2595-97-3); (M-H)+[-H2O]	284621	311332	323545	274360	282766	269280	318546	282749		279957	344098	316196	457968	435780	641725	218361	234747	199319
ALPHA-D-GALACTOSE 1-PHOSPHATE (CAS# 2255-14-3); (M-H)-	14367		66168	66833	13020	14259	13040	10402		7869		11335	9821			10463	35535	31846
ALPHA-LINOLENIC ACID (CAS# 463-40-1); (M+HCOO)-	50072	62809	45286	45940	45792	41131	45336	50982	55749	48555	45458	46537	45532	57037	58222	41848	47064	41656
ARACHIDIC ACID (CAS# 506-30-9); (M-H)-		1931					1245	2170	1734					1907				
ARACHIDONATE (CAS# 506-32-1); (M-H)-	142764	124905	72384	55980	47107	51215	129873	172963	64841	91311	132469	122243	149630	178710	126543	603071	414245	193528
ASPARTATE (CAS# 56-84-8); (M-H)-	284585	74099			151008					90877	190054	145121	193482	61736			149274	109172
AZELAIC ACID (CAS# 123-99-9); (M-H)-	58815	4780	40221	44373	25971	30603	25866	56466	6971	54827	34310	59444	43629	7097	9228	29450	40821	37278
BEHENIC ACID (CAS# 112-85-6); (M-H)-	2310	5324	3296	1312		1564	4379	4353	3645		1953	1862		5060	3999	2751	3478	3007
BETA-MALTOSE (CAS# 69-79-4); (2M+CL)-[-H2O]							74536	38060			25877	22391	53095		6320	24372	22041	20929
BETA-MALTOSE (CAS# 69-79-4); (M+CL)-							293342							32065				
BETA-MALTOSE (CAS# 69-79-4); (M+HCOO)-			1757		17225		1521	3034					3425			3584	1471	
C12 GALACTOSYL(BETA) CERAMIDE (D18:1/12:0) (CAS# 41613-14-3); (M+CL)-														10481				
CARNOSINE (CAS# 305-84-0); (M-H)-																5939		
CELLOBIOSE (CAS# 528-50-7); (M+CL)-							293342							32065				
CHOLINE PHOSPHATE (CAS# 107-73-3); (M+HCOO)-			40339	105282		108069	46734			44068	48465	44740	7247			55454	45556	46362
CIS-ACONITATE (CAS# 585-84-2); (M-H)-	596549	546626	598048	494980	555519	487365	487651	416807	380667	539603	519380	750381		312379	276148	453067	402251	390152
CIS-VACCENIC ACID (CAS# 506-17-2); (M-H)-	19983	28381	13538	9356	12548	10673	20343	27493	17258	17217	19493	17540	14933	28401	23278	25915	28132	17224
CIS-ZEATIN (CAS# 1637-39-4); (M+CL)-	1851237	2530283	1842983	1725382	1838145	1687697	1963265	1774487	2463523	1813103	1825017	1810016	1707902	2926622	2354106	2223907	1670659	1756648
CIS-ZEATIN (CAS# 1637-39-4); (M-H)-	2403004	2436768	2578750	2766503	2932701	2719616	3071962	2631950	3167814	2531098	2642663	2731635	2384674	2928553	2575749	3009762	2661089	2765981
CITRAMALATE (CAS# 2306-22-1); (M-H)-		85601							16010					3878	104564			
CITRATE (CAS# 77-92-9); (M-H)-	16500000	10700000	16200000	12600000	12100000	11000000	11900000	10400000	13200000	15300000	14600000	13300000	12900000	11700000	13200000	16200000	12600000	12200000
CITRULLINE (CAS# 372-75-8); (M-H)-								3438										
CMP (CAS# 63-37-6); (M-H)-												4648						
CORTISOL (CAS# 50-23-7); (M+HCOO)-									1141			2013						
CORTISONE (CAS# 53-06-5); (M+CL)-				9707								3723					1849	
CORTISONE (CAS# 53-06-5); (M+HCOO)-				25991	1847							9569					5331	
CYCLOHEPTANECARBOXYLIC ACID (CAS# 1460-16-8); (M+HCOO)-	58815	5788	40221	44373	25971	30603	25866	56466	6971	54827	34310	59444	43629	7097	9228	29450	40821	37278
CYTIDINE (CAS# 65-46-3); (M+CL)-			2230		2865			5117								1543		
CYTIDINE (CAS# 65-46-3); (M+HCOO)-	7769		7608	4267	8536			7141	1133	5412			4689			2052	4027	
CYTIDINE (CAS# 65-46-3); (M-H)-					5600			2881										4058
CYTIDINE 5'-DIPHOSPHOCHOLINE (CAS# 987-78-0); (M+HCOO)-					1155													
D-(-)-ARABINOSE (CAS# 10323-20-3); (M+HCOO)-														5676	6071			
D-GALACTOSAMINE (CAS# 7535-00-4); (M+CL)-				50851	18067	34292										8759	13417	11962
D-GLUCOSAMINE (CAS# 3416-24-8); (M+CL)-				49351	18153	34080										8759	13417	11962
D-GLUCOSE 6-PHOSPHATE (CAS# 56-73-5); (M-H)-	14367		66168	66833	62831	14259	40319	10402		7869		11335	44440			10463	35535	31846
D-LYXOSE (CAS# 1114-34-7); (M+CL)-					5362													
D-LYXOSE (CAS# 1114-34-7); (M+HCOO)-														5676	13339			
D-LYXOSE (CAS# 1114-34-7); (M-H)-											2347					3152		
D-ORNITHINE (CAS# 348-66-3); (M-H)-	4969		4878		5587	4534		3702		3832							4629	
D-PSICOSE (CAS# 551-68-8); (M+CL)-	1264704			1141852				2728798	141660		2885321			52078	93554	1630905		2208841
D-TAGATOSE (CAS# 87-81-0); (M+CL)-	1264704			1141852				2728798	141660		2885321			52078	93554	1630905		2208841
DEHYDROASCORBATE (CAS# 490-83-5); (M+HCOO)-	3238										1533							
DEHYDROASCORBATE (CAS# 490-83-5); (M-H)-	346268	313213	366004	258120	243242		238065	203077	244387							280504	208005	216808
DEOXYCHOLIC ACID (CAS# 83-44-3); (M-H)-														1655				
DEOXYCYTIDINE (CAS# 951-77-9); (M+CL)-							1110							2390				
DEOXYCYTIDINE (CAS# 951-77-9); (M+HCOO)-	74189	22929	68813	70748	100364	60534	62965	76764	23230	152986	106900	115483	176540	55653	38642	104628	73957	65740
DEOXYGUANOSINE 5'-TRIPHOSPHATE (CAS# 2564-35-4); (M-H)-	78628																	
DEOXYURIDINE (CAS# 951-78-0); (M+CL)-				31884		27139										11596	16954	
DEOXYURIDINE (CAS# 951-78-0); (M-H)-		24805							7456					23576	6098			
DEPHOSPHO-COA (CAS# 3633-59-8); (M-H)-	4335									11356	3735	6703	2808	1538			3684	2909
DGDP (CAS# 653-63-4); (M-H)-											1600							
DGMP (CAS# 902-04-5); (M-H)-	16367		28275	117160	60018	60284	54092		43418	7310	78613	83967	19814	150748		10621	15709	46826
DOCOSAHEXAENOIC ACID (CAS# 6217-54-5 ); (M-H)-	76293	72962	67570	33014	30703	28201	91033	125057	46728	75563	134433	125345	67146	91222	63295	264652	165817	95645
EDTA (CAS# 60-00-4); (M-H)-		1307	5938		2279					6176	21463		7684	1099	1309		1678	
ELAIDIC ACID (CAS# 112-79-8); (M-H)-	19983	28381	13538	9356	12548	10673	20343	27493	17258	17217	19493	17540	14933	28401	23278	25915	28132	17224
EPIBRASSINOLIDE [ISTD] (CAS# 78821-43-9); (M+CL)-	1104345	713823	932119	1078727	1027357	973998	1108605	1210269	716936	1344317	1305090	1350918	1211971	914475	774278	1412070	857891	1066638
EPIBRASSINOLIDE [ISTD] (CAS# 78821-43-9); (M+HCOO)-	7817397	3983166	6652740	7441467	7324285	6949031	7591049	8314987	4045161	9425663	9159752	9403842	8618495	5054582	4243099	9674643	6322249	7501531
ETHANOLAMINE PHOSPHATE (CAS# 1071-23-4); (M-H)-	10445		3186	36053	44718	8413	7284	4527		35589	7485	50890	4736			35559	4693	31552
ETHYLMALONIC ACID (CAS# 601-75-2); (M-H)-							24270	18343	26404									
FLAVIN ADENINE DINUCLEOTIDE (CAS# 146-14-5); (M-H)-	74961	36199	172835	123049	103887	96767	125843	144373	24223	156919	158319	172309	141202	43640	29482	199474	158179	141256
FOLIC ACID (CAS# 59-30-3); (M-H)-	44194	13021	39151	28277	26871	24186	60509	64551	18602	60613	80388	80197	60509	20588	21891	53258	31565	42845
FRUCTOSE (CAS# 57-48-7); (M+CL)-	1264704			1141852				2728798	141660		2885321			52078	93554	1630905		2208841
FRUCTOSE (CAS# 57-48-7); (M+HCOO)-	41292	1104	65125	22991	30472	26950	14136	27338		32890	92064	32702	62758	2312	2312	27530	5652	44218
FUMARATE (CAS# 110-17-8); (M-H)-	78441	32667	63741	56856	63293	55571	45479		26634	68366	61294	74980	29774	16479	18320	41886	36655	40117
GAMMA-L-GLUTAMYL-L-CYSTEINE (CAS# 686-58-8); (M-H)-											2784	1069						
GAMMA-LINOLENIC ACID (CAS# 506-26-3); (M+HCOO)-	50024	62809	45377	45940	45792	41347	45336	50982	55811	48583	45458	46506	47936	57037	58222	41848	44410	41699
GDPMANNOSE (CAS# ); (M-H)-	100712	8723	75676	86583	115880	111354	85797	85440	13826	138406	121219	103719	114398	12460	14794	73118	79433	85524
GIBBERELLIC ACID [ISTD] (CAS# 77-06-5); (2M-H)-	16100	6191	10342	14226	14061	12585	15427	13797	4119	20034	14165	17496	19468	12472	4916	22849	9979	13315
GIBBERELLIC ACID [ISTD] (CAS# 77-06-5); (M+CL)-	34322	8528	28998	34756	33948	33649	35523	31850	6388	39491	34712	36450	39297	12755	8251	42852	30092	30438
GIBBERELLIC ACID [ISTD] (CAS# 77-06-5); (M-H)-	439642	105586	369591	432544	424011	392151	429952	410780	83717	486320	412063	466380	497417	140101	90553	519683	361356	385214
GLUCARIC ACID (CAS# 87-73-0); (M-H)+[-H2O]	8173665	3351236	7542246	6299587	7202623	6749572	5877320	5270583	13800000	7348958	6941586	7212521	6321136	11000000	13000000	7607941	7258920	7115695
GLUCONIC ACID (CAS# 526-95-4); (M-H)-					55000									5676	6071			
GLUCOSE (CAS# 50-99-7); (2M+CL)-[-H2O]														32065				
GLUCOSE (CAS# 50-99-7); (2M+HCOO)-[-H2O]			1757		3625		1521	3034				2303	3463			3584	1311	
GLUCOSE (CAS# 50-99-7); (M+CL)-	1264704			1141852				2728798	141660		2885321			52078	93554	1630905		2208841
GLUCOSE 1-PHOSPHATE (CAS# 59-56-3); (M-H)-	14367		66168	66833	13020	14259	13040	10402		7869		11335	9821			10463	35535	31846
GLUCURONIC ACID (CAS# 6556-12-3); (M+CL)-	5738									5470						1314	1030	
GLUCURONIC ACID (CAS# 6556-12-3); (M-H)-									1300									
GLUTAMATE (CAS# 56-86-0); (M-H)-	1222110	174000					813472		281672				829713	191490	297903			620466
GLUTAMINE (CAS# 56-85-9); (M-H)-		43776	544171		612240				67227	468446							747236	
GLUTARATE (CAS# 110-94-1); (M-H)-							10448	12083	5586									
GLUTATHIONE (CAS# 27025-41-8); (M-H)-	4861653	3169246	5971715	4693645	3518050	4498234	3802945	3455829	1893376	3774553	5179135	4805602	4391869	2684365	3248798	4791056	4841756	4558006
GLYCERALDEHYDE (CAS# 367-47-5); (2M-H)-[-H2O]	284621	311332	323814	274360	283328	264416	318242	296221		279957	347168	316196	458313	435780	638015	218882	234747	204064
GLYCEROL 2-PHOSPHATE (CAS# ); (M-H)-	74373		44804	16628	1954			16180			16368	44894				41694		159910
GLYCINE (CAS# 56-40-6); (M-H)-				12935		6840	5331									2201		
GLYCOCHOLATE (CAS# 475-31-0); (M-H)-											2319	2291						
