#METABOLOMICS WORKBENCH araskind_20170619_181205 DATATRACK_ID:1045 STUDY_ID:ST000741 ANALYSIS_ID:AN001156 PROJECT_ID:PR000535
VERSION             	1
CREATED_ON             	July 3, 2017, 1:46 pm
#PROJECT
PR:PROJECT_TITLE                 	Metabolite-phenotype link in X-linked Adrenoleukodystrophy
PR:PROJECT_TYPE                  	MS analysis
PR:PROJECT_SUMMARY               	Untargeted metabolomics of control, AMN and ALD patient-derived fibroblasts
PR:INSTITUTE                     	Henry Ford Health System
PR:DEPARTMENT                    	Neurology
PR:LABORATORY                    	Singh Lab
PR:LAST_NAME                     	Singh
PR:FIRST_NAME                    	Jaspreet
PR:ADDRESS                       	Detroit, MI
PR:EMAIL                         	jsingh2@hfhs.org
PR:PHONE                         	313-916-7725
#STUDY
ST:STUDY_TITLE                   	Metabolite-phenotype link in X-linked Adrenoleukodystrophy (fibroblast cell
ST:STUDY_TITLE                   	culture)
ST:STUDY_TYPE                    	MS analysis
ST:STUDY_SUMMARY                 	Untargeted metabolomics of control, AMN and ALD patient-derived fibroblasts.
ST:STUDY_SUMMARY                 	Fibroblasts cultured in DMEM with 15%FBS and antibiotic (pen/strep) in 100mm
ST:STUDY_SUMMARY                 	petridishes (1million/dish). After 24h cultures supplemented with fresh media
ST:STUDY_SUMMARY                 	(DMEM+15%FBS+antibiotic) for 3hr
ST:INSTITUTE                     	University of Michigan
ST:DEPARTMENT                    	Biomedical Research Core Facilities
ST:LABORATORY                    	Metabolomics core
ST:LAST_NAME                     	Kachman
ST:FIRST_NAME                    	Maureen
ST:ADDRESS                       	6300 Brehm Tower, 1000 Wall Street, Ann Arbor, MI 48105-5714
ST:EMAIL                         	mkachman@med.umich.edu
ST:PHONE                         	(734) 232-8175
ST:NUM_GROUPS                    	4
ST:TOTAL_SUBJECTS                	2
#SUBJECT
SU:SUBJECT_TYPE                  	Human
SU:SUBJECT_SPECIES               	Homo sapiens
SU:TAXONOMY_ID                   	9606
#SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)[tab]SAMPLE[tab]FACTORS(NAME:VALUE pairs separated by |)[tab]Additional sample data
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016570	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016571	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016572	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016573	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016574	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016575	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016576	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016577	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016578	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016579	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016580	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016581	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016582	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016583	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016584	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016585	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016586	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016587	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU9999996	S00017166	subject type:POOLED	
#COLLECTION
CO:COLLECTION_SUMMARY             	-
#TREATMENT
TR:TREATMENT_SUMMARY              	-
#SAMPLEPREP
SP:SAMPLEPREP_SUMMARY             	-
SP:SAMPLEPREP_PROTOCOL_FILENAME   	A003 - Untargeted Metabolomics.pdf
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_TYPE           	Reversed phase
CH:INSTRUMENT_NAME               	Agilent
CH:COLUMN_NAME                   	Waters Acquity HSS T3 (50 x 2.1mm, 1.8um)
#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
AN:ANALYSIS_PROTOCOL_FILE        	A003 - Untargeted Metabolomics.pdf
#MS
MS:MS_COMMENTS                   	-
MS:INSTRUMENT_NAME               	Agilent 6530 QTOF
MS:INSTRUMENT_TYPE               	QTOF
MS:MS_TYPE                       	ESI
MS:ION_MODE                      	POSITIVE
#MS_METABOLITE_DATA
MS_METABOLITE_DATA:UNITS         	peak area
MS_METABOLITE_DATA_START
Samples	S00016570	S00016571	S00016572	S00016573	S00016574	S00016575	S00016576	S00016577	S00016578	S00016579	S00016580	S00016581	S00016582	S00016583	S00016584	S00016585	S00016586	S00016587
3-METHYLADIPIC ACID (CAS# 3058-01-3); (M+NA)+			9756						10265									
3BETA-HYDROXY-5ALPHA-PREGNAN-20-ONE (CAS# 516-55-2); (M+NA)+				1232				3259										
4-ACETAMIDOBUTANOATE (CAS# 3025-96-5); (M+NA)+	10829	9854	9552	16078	9462	8423	19662	21009	16491		18514	21679	12185	14401	15287	10058	13373	19411
4-AMINOBENZOATE (CAS# 150-13-0); (M+H)+							28539			8671		2285					11209	
4-HYDROXY-2-QUINOLINECARBOXYLIC ACID-KRYNURENIC ACID (CAS# 492-27-3); (M+H)+			2633						3046	1322	2009							
4-HYDROXY-3-METHOXYPHENYLGLYCOL (CAS# 67423-45-4); (M+H)+[-H2O]				4348	1691								1013					2023
4-HYDROXY-L-PROLINE (CAS# 2584-71-6); (M+H)+				6471	5599		3638					5187	3232		5636		7339	
4-HYDROXYPHENYLACETATE (CAS# 156-38-7); (M+H)+	2981							7589						3509		1915	2412	
4-METHYL-2-OXOVALERIC ACID (CAS# 816-66-0); (M+NA)+	2587	3477						7205						3472				1275
5'-METHYLTHIOADENOSINE (CAS# 2457-80-9); (M+H)+	1696777	1540600	1372918	1070453	1107048	722714	1195404	934512	926161	1246151	1315287	1299595	1056383	951861	675533	854727	649052	678036
5'-METHYLTHIOADENOSINE (CAS# 2457-80-9); (M+NA)+	273823	242358	271122	261117	269048	225600	278529	212508	231964	300903	301434	305924	237440	188021	179847	186696	175410	177330
5-AMINOLEVULINATE (CAS# 106-60-5); (M+H)+				6471			1763					5187	2005		3652		5210	
5-AMINOPENTANOATE (CAS# 660-88-8); (M+H)+	249983	210385	232838	280961	266698	205949	5298733	267965	279811	4037160	252452	324873	98492	4222910	4600254	4514548	897401	255396
5-HYDROXYINDOLEACETATE (CAS# 54-16-0); (M+H)+	6351			4150			2186			5837	6814					9788	7304	
5-HYDROXYTRYPTOPHAN (CAS# 4350-09-8); (M+H)+	178129	194571	146141				130102	132062										
5-METHYLTETRAHYDROFOLATE (CAS# 134-35-0); (M+H)+																1729	1763	
5-OXOPROLINE (CAS# 4042-36-8); (M+H)+	1892034	1726695	1906195	1791962	1887240	1329792	2159470	2164382	2122369	1654027	2033233	1846439	1990048	1787949		2051504	1503557	1599363
5-OXOPROLINE (CAS# 4042-36-8); (M+NA)+					208037													
5ALPHA-CHOLEST-7-EN-3BETA-OL (CAS# 80-99-9); (M+H)+[-H2O]	86436	301462	310631	134027	102507	130985	333069	250915	162051	108200	160683	158569	74633	429478	199368		253056	234550
6-CARBOXYHEXANOATE (CAS# 111-16-0); (M+NA)+			9756						8819									
ABRINE (CAS# 526-31-8); (M+H)+																1930		2244
ACETYLCHOLINE (CAS# 51-84-3); M+								6626		6966		4753		9558	7274		4760	2864
ADENINE (CAS# 73-24-5); (M+H)+				2197	1942		116228					91329					1304	
ADENOSINE 5'-DIPHOSPHATE (CAS# 58-64-0); (M+H)+	222737	95866	234081	329265	103024	39880	119277	506052	405488	87884	167012	117883	200424	124355	445380	503833	263034	226551
ADENOSINE 5'-MONOPHOSPHATE (CAS# 61-19-8); (M+H)+	97203	116033	148647	160441	144666	125711	181916	193043	163604	172338	133863	137321	95337	155537	198351	211424	174086	127083
ADENOSINE 5'-PHOSPHOSULFATE (CAS# 485-84-7); (M+NA)+				4038					2943									
ADIPIC ACID (CAS# 124-04-9 ); (M+NA)+	61467	53364			36887	32150				57119	57749	71776			53708			59968
ADP-RIBOSE (CAS# ); (M+H)+			1208			5049		7929	11014	4574	3962	4502		4319		6670	3058	7631
ADP-RIBOSE (CAS# ); (M+H)+[-H2O]	12921	75055	78424	16304	92547	63508	94689	96507	97424	85637	82565	88437	77346	79481	82425	96843	15839	96253
ADPGLUCOSE (CAS# ); (M+H)+	4484	3741		4104	4485	2871	4782	3798	3252		2724	1931	4331	1865	3367	3604	4215	3731
AHBA (CAS# 76045-71-1); (M+H)+												1448						
ALANINE (CAS# 56-41-7); (2M+H)+[-H2O]				156410	144363	116120			115445	95690	86975	92507	74525	86392	72269			
ALANINE (CAS# 56-41-7); (M+H)+			4837															
ALLOSE (CAS# 2595-97-3); (M+H)+[-H2O]	14870		15499	11162	14456	8199	7556	3232	7083	11577		10803		4028	7329	15453	13727	15823
ALPHA-D-GALACTOSE 1-PHOSPHATE (CAS# 2255-14-3); (M+NA)+				1817		2612												
ALPHA-KETO-GLUTARATE (CAS# 328-50-7); (M+H)+[-H2O]							14254											
ALPHA-LINOLENIC ACID (CAS# 463-40-1); (M+NA)+	37033		22373	63395	61999	7148	11836	21875	19302		10351	53713	6791	27485	11852	22170	41590	10520
ANDROSTERONE (CAS# 53-41-8); (M+NA)+			4668										28358					
ANTHRANILATE (CAS# 118-92-3); (M+H)+	4232	3989	4080				20391	23743	6541	14435	7547		5614		5460	6570	10054	3935
ARACHIDIC ACID (CAS# 506-30-9); (M+NA)+		2158	3546	4443	1749				4682	4161					3599		1804	3410
ASCORBATE (CAS# 50-81-7); (M+H)+[-H2O]										16023								
ASPARTATE (CAS# 56-84-8); (M+H)+	54224	46518	54919	59722	61604	57874	18076	19659	24989	32746		36429	56061	40645	51785	21551	38478	41322
ASPARTATE (CAS# 56-84-8); (M+NA)+			1914															
AZELAIC ACID (CAS# 123-99-9); (M+NA)+	85565	48861	60435	79586	38234	57707	42594	91532	67264	79175	53681	83932		72703	66138	52583	57787	59850
BENZOIN (CAS# 119-53-9); (M+NA)+							1185		1689	1670			5291					
BETA-ALANINE (CAS# 107-95-9); (M+H)+	118301	121334	119151	145186	135526	116623	82821	80950	96690	119783	124469		124100			98959	105846	83808
BETA-MALTOSE (CAS# 69-79-4); (M+NA)+	4708	1753	4513		6866		39307	6781	8621		8059	8637	20852		20476	6664	4426	7918
BETAINE (CAS# 107-43-7); (M+H)+	249521	210623	231192	280585	266682	206152	5282602	263044	286407	1863	245636	324445	4221	4202649	7265	4496184	226171	245231
BETAINE (CAS# 107-43-7); (M+NA)+	1989		1842	17359	16568	14596		2538	3086	2148	28609		2389	11826	17371	6083	3017	3205
BIS(2-ETHYLHEXYL)PHTHALATE (CAS# 117-81-7); (M+NA)+	2237570	441451	1984009	2464989	1975711	1865694	2811364	283452	2566326	2229265	2288880	2233371	1897689	1713314	2705427	1007544	3354172	2923218
BIS-GAMMA-GLUTAMYLCYSTINE (CAS# 23052-19-9); (M+H)+															2112			
BIURET (CAS# 108-19-0); (M+NA)+				1217									1490					
BOC-ALA-OH (CAS# 15761-38-3); (M+NA)+		11829	8460								15081	20286	14439	15874	10779			12433
CAFFEINE (CAS# 58-08-2); (M+H)+						22397				13522		16340						
CAFFEINE (CAS# 58-08-2); (M+NA)+	6184	3833	4956	3980	2382		8588	8010	6732	4760	6642	7283	5992	5865	5297		2139	
CALCIDIOL (CAS# 19356-17-3); (M+NA)+						9564					41099		39443					25804
CARNOSINE (CAS# 305-84-0); (M+H)+		2683		5458	5137											5233		2876
CELLOBIOSE (CAS# 528-50-7); (M+NA)+	4708	1753	4513		6866		39307	6781	8621		8059	8637	20852		20476	6664	3358	7918
CHOLESTEROL (CAS# 57-88-5); (M+H)+[-H2O]	86436	305095	310631	133851	102507	131139	332984	250872	162051	108200	161290	158600	74633	429800	199368		253098	234550
CHOLINE (CAS# 62-49-7); M+	82972	70754	60625	57715	46054	48346	67113	66549	66392	81676	81951	69824	77744	75346	71144	128775	110089	106890
CHOLINE PHOSPHATE (CAS# 107-73-3); (M+H)+	394882	377990	361248	2259272	868799	2150800	2072973	1658009	2187652	522313	1590957	1669187	1800092	1481664	1508813	1468695	1563416	633294
CHOLINE PHOSPHATE (CAS# 107-73-3); (M+NA)+	48256	53982	49032	118802	123401	108519	155883	154129	146525	116367	134879	121654	121177	95169	110152	89174	74530	106494
CIS-VACCENIC ACID (CAS# 506-17-2); (M+H)+																1046		
CIS-ZEATIN (CAS# 1637-39-4); (M+H)+	6181644	6914733	6921603	8946568	8101013	7108769	8299033	8473119	7687230	6705049	7567983	7854297	6426546	9092691	6536291	8782437	6884435	7881635
CITRATE (CAS# 77-92-9); (M+H)+[-H2O]				1167														
CITRATE (CAS# 77-92-9); (M+NA)+	51761	52070	84363	57536	85343	58952	109114	95680	86101	37850	95318	48633	34585	26264	31914	100626	88232	98214
CITRULLINE (CAS# 372-75-8); (M+NA)+										1418								
CMP (CAS# 63-37-6); (M+H)+	32662	25697	31141	36874	30803	32673			32871		5035		35249	25125	25490	36044	33397	31155
CORTISONE (CAS# 53-06-5); (M+NA)+				17058														
CREATINE (CAS# 57-00-1); (M+H)+	4808988	4690122	4412933	5754997		4867121	3090903	3129028	3624713	4813795	4752385	4661465	5086490		4484599	3989066	4252581	3795100
CREATININE (CAS# 60-27-5); (M+H)+	141908	180564																
CREATININE-(GUANIDINO-13C) [ISTD] (CAS# ); (2M+H)+		1766	2661		12595				8281	4799		6572			5100	3181		
CYTIDINE 5'-DIPHOSPHOCHOLINE (CAS# 987-78-0); (M+H)+	4890	2722	2654				1101						1414					
CYTIDINE 5'-DIPHOSPHOCHOLINE (CAS# 987-78-0); (M+K)+	2369	1478	1227		2009	1362				1048			4473	2283	1047	1421	1592	
CYTIDINE 5'-DIPHOSPHOCHOLINE (CAS# 987-78-0); (M+NA)+													3558				1124	
CYTOSINE (CAS# 71-30-7); (M+H)+	8163	6047	5908		2560			2006	9141	18629	12925	20468	10638	2385	7847	3075	3443	4118
CYTOSINE (CAS# 71-30-7); (M+NA)+							131672	156238	192337			102434				98540	133980	156385
D-GALACTOSAMINE (CAS# 7535-00-4); (M+H)+[-H2O]	7875		11390					10071										
D-GLUCOSE 6-PHOSPHATE (CAS# 56-73-5); (M+K)+	8047	5386	1823		3911	5891		4047		3287		1579		2329	2183			2856
D-GLUCOSE 6-PHOSPHATE (CAS# 56-73-5); (M+NA)+				1817		1127												
D-MANNOSAMINE (CAS# 14307-02-9); (M+H)+[-H2O]	7875		11390					10071										
D-ORNITHINE (CAS# 348-66-3); (M+H)+								2754			2816							
D-ORNITHINE (CAS# 348-66-3); (M+H)+[-H2O]															1652			
D-PSICOSE (CAS# 551-68-8); (2M+NA)+[-H2O]	4708						39307	6781			8059	8637	27910			6664		
DEBRISOQUIN (CAS# 581-88-4); (M+H)+	134887		26580								7200	5014			415305			
DECANOATE (CAS# 334-48-5); (2M+NA)+	30200		10005					4328	38977	43944	41360		36400	19002	42243	11594	50633	6827
DEHYDROASCORBATE (CAS# 490-83-5); (M+H)+															1100			
DEHYDROASCORBATE (CAS# 490-83-5); (M+H)+[-H2O]		6602		7766	5614		7698	4019	4140			9187	4610		5251	7517	4832	11388
DEOXYCHOLIC ACID (CAS# 83-44-3); (M+H)+																6414		
DEOXYCHOLIC ACID (CAS# 83-44-3); (M+NA)+												17145		2719		21552		
DEOXYCYTIDINE (CAS# 951-77-9); (M+H)+	4584								5857				8978	1628				
DEPHOSPHO-COA (CAS# 3633-59-8); (M+NA)+									2451			3274						
DGMP (CAS# 902-04-5); (M+H)+	100330	74941	96347	105060	89322	44936	173697	164040	163604	172338	86432	121497	94165	92728	198351	211424	104870	101574
DUMP (CAS# 964-26-1); (2M+NA)+					1436		4150	4206	2272					2545			3141	3546
ELAIDIC ACID (CAS# 112-79-8); (M+H)+																1046		
ELAIDIC ACID (CAS# 112-79-8); (M+NA)+	32787		21228	68797		2897	76690	36635	28685			5779	6439	41290	13031		5815	
ERUCIC ACID (CAS# 112-86-7); (M+NA)+	14528	10034		9680	2882	10904			10259		12966	11092	9751		9840	10383		
ERYTHRITOL (CAS# 149-32-6); (M+NA)+				1036											1996			
ESTRONE (CAS# 53-16-7); (M+H)+										12228								
ETHANOLAMINE PHOSPHATE (CAS# 1071-23-4); (M+H)+														2105				
FLAVIN ADENINE DINUCLEOTIDE (CAS# 146-14-5); (M+H)+	9426	20453	20681	21063	13237	7132	16684	21955	13003	17784	24907	27112	17359	27922	16287	24118	25120	21705
FLAVIN ADENINE DINUCLEOTIDE (CAS# 146-14-5); (M+NA)+	6747	12393	17217	11272	9973	3117	10171	15788	11663	11277	12230	10734	11504	18200	10422	18354	12119	10446
FOLIC ACID (CAS# 59-30-3); (M+H)+	27415	22718	24622	18658	16653	12154	37761	40279	35632	35956	48437	49988	38143	43724	35645	33283	20260	25865
FOLIC ACID (CAS# 59-30-3); (M+NA)+	14395	15063	13017	7565	7151	4273	19544	21474	18351	17135	23220	21855	18234	20973	18616	19128	9934	11786
FRUCTOSE (CAS# 57-48-7); (M+NA)+	106615	71303	99126	69393	98541	61936	331657	314364	303154	168949	328239	265993	273936	171869	263653		82065	197269
GALACTITOL OR DULCITOL (CAS# 608-66-2); (M+H)+						1336												
GAMMA-L-GLUTAMYL-L-CYSTEINE (CAS# 686-58-8); (M+H)+																	26461	
GAMMA-L-GLUTAMYL-L-CYSTEINE (CAS# 686-58-8); (M+H)+[-H2O]	140702	194689	130857	141451	143736	72944		104778	132998	262812	189515	241293	288742	320468	30485	173794	189159	203913
